SIM_RUN,LR,WLR,Heincke,CR,CRCB,PM,type
E1,0.435,0.473,0.517,0.509,0.508,0.510,estimate
E2,0.455,0.486,0.514,0.509,0.508,0.510,estimate
E3,0.508,0.538,0.518,0.531,0.530,0.532,estimate
E4,0.468,0.502,0.557,0.523,0.523,0.524,estimate
E5,0.413,0.546,0.448,0.482,0.482,0.483,estimate
E6,0.422,0.541,0.414,0.493,0.492,0.494,estimate
E7,0.347,0.465,0.459,0.456,0.456,0.457,estimate
E8,0.409,0.502,0.475,0.472,0.472,0.473,estimate
E9,0.465,0.491,0.450,0.472,0.471,0.473,estimate
E10,0.337,0.493,0.517,0.487,0.486,0.488,estimate
E11,0.394,0.461,0.465,0.467,0.466,0.468,estimate
E12,0.585,0.543,0.496,0.533,0.532,0.534,estimate
E13,0.524,0.513,0.480,0.520,0.519,0.521,estimate
E14,0.386,0.470,0.460,0.469,0.468,0.470,estimate
E15,0.409,0.471,0.527,0.496,0.495,0.497,estimate
E16,0.403,0.449,0.556,0.507,0.507,0.508,estimate
E17,0.506,0.486,0.488,0.496,0.495,0.497,estimate
E18,0.346,0.493,0.526,0.492,0.492,0.493,estimate
E19,0.415,0.444,0.510,0.491,0.491,0.492,estimate
E20,0.452,0.497,0.521,0.509,0.508,0.510,estimate
E1,0.023,0.029,0.027,0.026,0.024,0.026,standard_error
E2,0.049,0.046,0.026,0.026,0.036,0.038,standard_error
E3,0.040,0.034,0.026,0.027,0.021,0.027,standard_error
E4,0.037,0.044,0.030,0.028,0.033,0.037,standard_error
E5,0.064,0.043,0.023,0.025,0.033,0.028,standard_error
E6,0.050,0.035,0.022,0.026,0.028,0.026,standard_error
E7,0.042,0.029,0.024,0.024,0.036,0.024,standard_error
E8,0.038,0.025,0.024,0.024,0.023,0.024,standard_error
E9,0.036,0.031,0.024,0.025,0.023,0.025,standard_error
E10,0.040,0.041,0.028,0.027,0.039,0.028,standard_error
E11,0.032,0.030,0.023,0.023,0.023,0.024,standard_error
E12,0.032,0.035,0.026,0.028,0.029,0.031,standard_error
E13,0.021,0.027,0.025,0.027,0.024,0.027,standard_error
E14,0.040,0.029,0.025,0.025,0.022,0.025,standard_error
E15,0.032,0.030,0.029,0.027,0.026,0.028,standard_error
E16,0.046,0.048,0.029,0.026,0.035,0.034,standard_error
E17,0.021,0.020,0.026,0.026,0.014,0.026,standard_error
E18,0.043,0.021,0.027,0.025,0.031,0.025,standard_error
E19,0.031,0.027,0.026,0.025,0.026,0.028,standard_error
E20,0.024,0.024,0.029,0.028,0.017,0.028,standard_error
