LR,WLR,Heincke,CR,CRCB,PM,type
0.483,0.507,0.459,0.489,0.488,0.490,estimate
0.499,0.502,0.487,0.505,0.504,0.506,estimate
0.374,0.551,0.543,0.514,0.513,0.515,estimate
0.408,0.486,0.501,0.492,0.492,0.493,estimate
0.405,0.460,0.451,0.464,0.463,0.465,estimate
0.467,0.483,0.460,0.491,0.490,0.492,estimate
0.377,0.470,0.461,0.474,0.473,0.475,estimate
0.438,0.502,0.517,0.512,0.511,0.513,estimate
0.322,0.464,0.506,0.486,0.485,0.487,estimate
0.414,0.541,0.481,0.503,0.502,0.504,estimate
0.540,0.531,0.452,0.513,0.512,0.514,estimate
0.405,0.419,0.446,0.444,0.443,0.445,estimate
0.357,0.458,0.488,0.464,0.463,0.465,estimate
0.347,0.454,0.513,0.485,0.485,0.486,estimate
0.303,0.452,0.463,0.452,0.452,0.453,estimate
0.378,0.505,0.534,0.525,0.524,0.526,estimate
0.429,0.528,0.499,0.497,0.497,0.498,estimate
0.489,0.482,0.523,0.502,0.501,0.503,estimate
0.452,0.473,0.468,0.480,0.479,0.481,estimate
0.460,0.561,0.459,0.519,0.519,0.521,estimate
0.424,0.507,0.514,0.508,0.507,0.509,estimate
0.497,0.513,0.503,0.512,0.512,0.513,estimate
0.400,0.495,0.513,0.518,0.517,0.519,estimate
0.524,0.519,0.489,0.505,0.504,0.506,estimate
0.413,0.497,0.577,0.520,0.520,0.521,estimate
0.376,0.495,0.492,0.485,0.485,0.486,estimate
0.413,0.483,0.455,0.463,0.463,0.464,estimate
0.344,0.437,0.455,0.449,0.448,0.450,estimate
0.428,0.475,0.435,0.472,0.471,0.473,estimate
0.458,0.524,0.509,0.534,0.534,0.535,estimate
0.385,0.442,0.484,0.469,0.469,0.470,estimate
0.420,0.511,0.547,0.508,0.508,0.509,estimate
0.331,0.456,0.520,0.473,0.472,0.474,estimate
0.418,0.446,0.494,0.477,0.476,0.478,estimate
0.467,0.528,0.531,0.506,0.505,0.507,estimate
0.421,0.503,0.480,0.489,0.489,0.490,estimate
0.390,0.498,0.603,0.540,0.539,0.541,estimate
0.372,0.469,0.440,0.469,0.468,0.470,estimate
0.478,0.485,0.424,0.486,0.485,0.487,estimate
0.490,0.518,0.517,0.517,0.516,0.518,estimate
0.383,0.449,0.421,0.443,0.443,0.444,estimate
0.385,0.486,0.476,0.472,0.472,0.473,estimate
0.497,0.546,0.525,0.522,0.521,0.523,estimate
0.411,0.486,0.439,0.441,0.440,0.442,estimate
0.537,0.520,0.526,0.532,0.531,0.533,estimate
0.386,0.511,0.512,0.518,0.517,0.519,estimate
0.398,0.489,0.419,0.477,0.476,0.478,estimate
0.427,0.514,0.516,0.519,0.519,0.520,estimate
0.493,0.532,0.522,0.522,0.522,0.523,estimate
0.446,0.523,0.492,0.505,0.505,0.506,estimate
0.462,0.530,0.547,0.528,0.527,0.529,estimate
0.500,0.558,0.588,0.575,0.575,0.576,estimate
0.476,0.536,0.543,0.526,0.526,0.527,estimate
0.406,0.560,0.488,0.496,0.495,0.497,estimate
0.417,0.580,0.501,0.548,0.547,0.549,estimate
0.504,0.554,0.512,0.535,0.535,0.536,estimate
0.302,0.502,0.483,0.481,0.481,0.482,estimate
0.498,0.517,0.461,0.492,0.492,0.493,estimate
0.404,0.461,0.564,0.495,0.495,0.497,estimate
0.360,0.477,0.537,0.502,0.501,0.503,estimate
0.358,0.470,0.463,0.482,0.481,0.483,estimate
0.479,0.487,0.491,0.491,0.490,0.492,estimate
0.412,0.527,0.517,0.513,0.512,0.514,estimate
0.458,0.511,0.487,0.510,0.509,0.511,estimate
0.318,0.461,0.499,0.483,0.482,0.484,estimate
0.337,0.496,0.503,0.504,0.504,0.505,estimate
0.453,0.497,0.521,0.498,0.497,0.499,estimate
0.474,0.511,0.492,0.505,0.504,0.506,estimate
0.433,0.466,0.503,0.528,0.528,0.530,estimate
0.377,0.494,0.455,0.475,0.475,0.476,estimate
0.343,0.465,0.495,0.463,0.462,0.464,estimate
0.367,0.518,0.489,0.490,0.490,0.491,estimate
0.417,0.453,0.457,0.479,0.478,0.480,estimate
0.491,0.551,0.408,0.486,0.485,0.487,estimate
0.421,0.536,0.470,0.500,0.499,0.501,estimate
0.375,0.460,0.467,0.472,0.471,0.473,estimate
