SIM_RUN,LR,WLR,Heincke,CR,CRCB,PM,type
L1,0.510,0.566,0.535,0.555,0.555,0.556,estimate
L2,0.523,0.538,0.435,0.495,0.494,0.495,estimate
L3,0.415,0.429,0.538,0.481,0.481,0.482,estimate
L4,0.440,0.539,0.519,0.480,0.479,0.481,estimate
L5,0.346,0.449,0.471,0.451,0.451,0.452,estimate
L6,0.404,0.481,0.441,0.495,0.494,0.496,estimate
L7,0.509,0.536,0.487,0.504,0.503,0.505,estimate
L8,0.413,0.452,0.384,0.465,0.464,0.466,estimate
L9,0.264,0.416,0.561,0.468,0.467,0.469,estimate
L10,0.269,0.516,0.562,0.495,0.494,0.496,estimate
L11,0.395,0.476,0.412,0.474,0.473,0.475,estimate
L12,0.401,0.408,0.563,0.527,0.526,0.528,estimate
L13,0.274,0.372,0.515,0.453,0.452,0.454,estimate
L14,0.489,0.478,0.524,0.487,0.486,0.488,estimate
L15,0.485,0.508,0.448,0.534,0.533,0.535,estimate
L16,0.545,0.522,0.507,0.539,0.539,0.540,estimate
L17,0.529,0.561,0.437,0.524,0.523,0.526,estimate
L18,0.595,0.564,0.476,0.550,0.549,0.551,estimate
L19,0.513,0.535,0.417,0.509,0.508,0.510,estimate
L20,0.520,0.498,0.412,0.478,0.477,0.479,estimate
L1,0.048,0.046,0.025,0.026,0.032,0.034,standard_error
L2,0.064,0.070,0.021,0.024,0.044,0.049,standard_error
L3,0.028,0.049,0.027,0.024,0.042,0.047,standard_error
L4,0.057,0.067,0.029,0.027,0.042,0.047,standard_error
L5,0.086,0.078,0.026,0.025,0.065,0.046,standard_error
L6,0.065,0.074,0.022,0.025,0.039,0.042,standard_error
L7,0.054,0.059,0.024,0.024,0.039,0.043,standard_error
L8,0.066,0.058,0.021,0.025,0.063,0.067,standard_error
L9,0.047,0.059,0.031,0.026,0.067,0.031,standard_error
L10,0.057,0.034,0.030,0.026,0.089,0.039,standard_error
L11,0.060,0.063,0.023,0.026,0.041,0.044,standard_error
L12,0.040,0.043,0.032,0.030,0.058,0.058,standard_error
L13,0.039,0.056,0.029,0.026,0.055,0.039,standard_error
L14,0.032,0.044,0.029,0.027,0.036,0.040,standard_error
L15,0.044,0.050,0.022,0.027,0.050,0.056,standard_error
L16,0.041,0.051,0.026,0.028,0.045,0.048,standard_error
L17,0.084,0.067,0.024,0.029,0.054,0.055,standard_error
L18,0.031,0.041,0.025,0.029,0.037,0.039,standard_error
L19,0.051,0.069,0.022,0.027,0.045,0.051,standard_error
L20,0.054,0.048,0.019,0.023,0.036,0.037,standard_error
