SIM_RUN,LR,WLR,Heincke,CR,CRCB,PM,type
Q1,0.229,0.207,0.080,0.302,0.301,0.304,estimate
Q2,0.527,0.525,0.279,0.449,0.449,0.450,estimate
Q3,0.317,0.442,0.268,0.393,0.393,0.395,estimate
Q4,0.445,0.482,0.213,0.507,0.506,0.509,estimate
Q5,0.271,0.197,0.012,0.351,0.350,0.352,estimate
Q6,0.319,0.513,0.648,0.641,0.639,0.642,estimate
Q7,0.323,0.271,0.050,0.292,0.292,0.293,estimate
Q8,0.286,0.262,0.199,0.275,0.275,0.275,estimate
Q9,0.448,0.596,1.131,0.898,0.897,0.899,estimate
Q10,0.463,0.539,0.896,0.573,0.572,0.574,estimate
Q11,0.700,0.605,0.582,0.520,0.520,0.520,estimate
Q12,0.241,0.410,0.337,0.514,0.512,0.515,estimate
Q13,0.399,0.460,1.440,0.770,0.769,0.772,estimate
Q14,0.429,0.607,1.562,0.888,0.885,0.890,estimate
Q15,0.235,0.203,0.086,0.301,0.300,0.304,estimate
Q16,0.331,0.454,0.222,0.346,0.346,0.347,estimate
Q17,0.374,0.315,0.341,0.353,0.351,0.356,estimate
Q18,0.247,0.541,0.271,0.695,0.694,0.697,estimate
Q19,0.822,1.199,1.489,1.330,1.325,1.332,estimate
Q20,0.287,0.584,1.197,0.660,0.658,0.661,estimate
Q1,0.094,0.110,0.007,0.028,0.114,0.110,standard_error
Q2,0.084,0.161,0.010,0.016,0.105,0.106,standard_error
Q3,0.093,0.164,0.017,0.026,0.112,0.129,standard_error
Q4,0.147,0.132,0.014,0.033,0.204,0.219,standard_error
Q5,0.137,0.189,0.001,0.022,0.147,0.147,standard_error
Q6,0.091,0.158,0.038,0.038,0.153,0.183,standard_error
Q7,0.172,0.178,0.003,0.017,0.129,0.104,standard_error
Q8,0.127,0.119,0.010,0.014,0.085,0.068,standard_error
Q9,0.117,0.157,0.040,0.031,0.236,0.167,standard_error
Q10,0.054,0.046,0.050,0.031,0.130,0.173,standard_error
Q11,0.211,0.283,0.019,0.017,0.134,0.121,standard_error
Q12,0.059,0.095,0.022,0.033,0.118,0.131,standard_error
Q13,0.095,0.129,0.082,0.041,0.318,0.208,standard_error
Q14,0.066,0.072,0.106,0.056,0.482,0.292,standard_error
Q15,0.107,0.134,0.009,0.033,0.133,0.135,standard_error
Q16,0.093,0.117,0.012,0.018,0.076,0.082,standard_error
Q17,0.107,0.162,0.038,0.039,0.126,0.136,standard_error
Q18,0.080,0.158,0.013,0.034,0.352,0.323,standard_error
Q19,0.193,0.294,0.079,0.070,0.233,0.267,standard_error
Q20,0.137,0.331,0.074,0.039,0.199,0.251,standard_error
