LR,WLR,Heincke,CR,CRCB,PM,type
0.438,0.532,0.538,0.420,0.420,0.422,estimate
0.312,0.165,0.071,0.320,0.319,0.321,estimate
0.249,0.282,0.354,0.377,0.376,0.380,estimate
0.343,0.422,0.551,0.423,0.422,0.425,estimate
0.256,0.483,0.591,0.477,0.476,0.479,estimate
0.353,0.603,0.453,0.561,0.560,0.561,estimate
0.415,0.360,0.104,0.387,0.386,0.388,estimate
0.149,0.167,0.055,0.250,0.250,0.253,estimate
0.432,0.488,0.774,0.534,0.533,0.535,estimate
0.577,0.633,0.856,0.750,0.749,0.751,estimate
0.183,0.121,0.060,0.215,0.214,0.216,estimate
0.329,0.626,0.268,0.581,0.581,0.583,estimate
0.284,0.299,0.440,0.393,0.392,0.393,estimate
0.286,0.179,0.047,0.321,0.321,0.322,estimate
0.190,0.151,0.008,0.326,0.325,0.328,estimate
0.264,0.378,0.483,0.395,0.395,0.397,estimate
0.201,0.161,0.099,0.212,0.212,0.213,estimate
-0.017,0.009,0.034,0.199,0.198,0.200,estimate
0.335,0.404,1.737,0.910,0.908,0.911,estimate
0.301,0.248,0.008,0.503,0.503,0.504,estimate
0.337,0.289,0.111,0.378,0.378,0.379,estimate
0.296,0.251,0.085,0.292,0.292,0.293,estimate
0.397,0.543,1.285,0.721,0.719,0.722,estimate
0.387,0.663,1.292,1.029,1.027,1.030,estimate
0.394,0.353,0.127,0.412,0.411,0.413,estimate
0.449,0.656,0.369,0.680,0.679,0.682,estimate
0.428,0.467,0.175,0.380,0.379,0.380,estimate
0.357,0.428,0.588,0.482,0.480,0.483,estimate
0.091,0.063,0.012,0.289,0.289,0.290,estimate
0.289,0.418,0.043,0.341,0.340,0.342,estimate
0.334,0.792,0.000,0.407,0.405,0.409,estimate
0.201,0.229,0.156,0.303,0.302,0.305,estimate
0.477,0.617,0.705,0.627,0.626,0.628,estimate
0.380,0.366,0.392,0.443,0.443,0.444,estimate
0.371,0.598,0.325,0.518,0.517,0.519,estimate
0.242,0.341,0.307,0.313,0.313,0.316,estimate
0.223,0.158,0.000,0.251,0.249,0.256,estimate
0.315,0.377,1.039,0.810,0.808,0.812,estimate
0.601,0.629,0.920,0.675,0.674,0.676,estimate
0.306,0.273,0.221,0.252,0.251,0.253,estimate
0.481,0.443,0.182,0.452,0.451,0.456,estimate
0.363,0.477,2.044,1.192,1.189,1.193,estimate
-0.072,0.055,0.017,0.166,0.166,0.167,estimate
0.210,0.158,0.006,0.335,0.334,0.335,estimate
0.375,0.486,1.476,0.809,0.807,0.810,estimate
0.291,0.368,0.291,0.396,0.396,0.397,estimate
0.552,0.779,0.343,0.666,0.665,0.666,estimate
0.190,0.352,0.219,0.303,0.303,0.303,estimate
0.347,0.568,0.262,0.500,0.499,0.501,estimate
0.121,0.127,0.336,0.276,0.273,0.284,estimate
0.448,0.630,0.809,0.592,0.591,0.593,estimate
0.351,0.359,0.101,0.374,0.374,0.375,estimate
0.119,0.047,0.026,0.203,0.202,0.205,estimate
0.125,0.109,0.035,0.265,0.264,0.266,estimate
0.256,0.335,0.616,0.401,0.400,0.402,estimate
0.345,0.488,0.134,0.353,0.352,0.353,estimate
0.312,0.216,0.002,0.465,0.465,0.466,estimate
0.456,0.452,0.282,0.406,0.405,0.407,estimate
0.284,0.324,1.086,0.410,0.408,0.414,estimate
0.357,0.233,0.037,0.252,0.252,0.252,estimate
0.220,0.212,0.267,0.346,0.345,0.346,estimate
0.384,0.304,0.242,0.327,0.326,0.329,estimate
0.322,0.337,0.268,0.382,0.381,0.383,estimate
0.335,0.441,1.195,0.602,0.600,0.604,estimate
0.370,0.438,0.461,0.451,0.450,0.452,estimate
0.358,0.462,0.244,0.441,0.440,0.442,estimate
0.293,0.227,0.043,0.289,0.289,0.290,estimate
0.222,0.145,0.000,0.205,0.204,0.206,estimate
0.285,0.381,0.265,0.382,0.382,0.383,estimate
0.474,0.476,0.511,0.543,0.541,0.545,estimate
0.433,0.622,0.748,0.711,0.709,0.713,estimate
0.090,0.065,0.008,0.248,0.248,0.250,estimate
0.287,0.297,0.646,0.467,0.467,0.468,estimate
0.014,0.006,0.026,0.191,0.190,0.193,estimate
0.284,0.491,0.561,0.719,0.718,0.720,estimate
0.471,0.730,2.071,1.078,1.074,1.079,estimate
0.214,0.456,0.293,0.477,0.474,0.483,estimate
0.331,0.387,0.043,0.459,0.458,0.461,estimate
0.317,0.253,0.017,0.400,0.400,0.401,estimate
0.302,0.270,0.271,0.468,0.467,0.470,estimate
0.341,0.404,0.226,0.457,0.457,0.458,estimate
0.311,0.321,0.585,0.498,0.497,0.500,estimate
0.304,0.261,0.104,0.318,0.318,0.319,estimate
0.178,0.092,0.000,0.189,0.189,0.190,estimate
0.442,0.774,0.000,0.424,0.423,0.425,estimate
0.113,0.129,0.458,0.246,0.245,0.251,estimate
0.282,0.297,0.658,0.470,0.469,0.471,estimate
0.240,0.279,1.717,0.817,0.816,0.818,estimate
0.314,0.378,0.273,0.427,0.425,0.429,estimate
0.343,0.266,0.156,0.326,0.326,0.328,estimate
0.369,0.537,0.620,0.502,0.500,0.506,estimate
0.133,0.275,0.152,0.306,0.305,0.307,estimate
0.321,0.310,0.020,0.325,0.324,0.325,estimate
0.448,0.441,0.193,0.413,0.413,0.414,estimate
0.288,0.247,0.171,0.272,0.272,0.273,estimate
0.401,0.411,0.867,0.549,0.548,0.550,estimate
0.247,0.148,0.017,0.280,0.280,0.282,estimate
0.379,0.451,0.151,0.538,0.537,0.540,estimate
0.198,0.206,0.137,0.224,0.224,0.226,estimate
0.278,0.447,0.068,0.478,0.477,0.478,estimate
0.052,0.061,0.038,0.029,0.079,0.092,standard_error
0.116,0.176,0.004,0.019,0.133,0.128,standard_error
0.152,0.174,0.035,0.037,0.106,0.114,standard_error
0.127,0.167,0.045,0.035,0.164,0.175,standard_error
0.103,0.213,0.038,0.030,0.115,0.137,standard_error
0.116,0.238,0.018,0.023,0.107,0.139,standard_error
0.075,0.147,0.007,0.025,0.139,0.146,standard_error
0.066,0.078,0.006,0.029,0.072,0.080,standard_error
0.054,0.064,0.048,0.033,0.087,0.104,standard_error
0.084,0.081,0.034,0.030,0.080,0.087,standard_error
0.101,0.117,0.006,0.021,0.109,0.111,standard_error
0.074,0.152,0.013,0.028,0.140,0.180,standard_error
0.083,0.120,0.021,0.019,0.103,0.112,standard_error
0.111,0.162,0.003,0.018,0.148,0.148,standard_error
0.150,0.182,0.001,0.029,0.116,0.123,standard_error
0.067,0.120,0.029,0.024,0.060,0.075,standard_error
0.078,0.102,0.008,0.017,0.072,0.075,standard_error
0.159,0.158,0.004,0.021,0.119,0.113,standard_error
0.089,0.156,0.078,0.037,0.468,0.280,standard_error
0.132,0.253,0.000,0.027,0.178,0.216,standard_error
0.181,0.198,0.006,0.022,0.140,0.120,standard_error
0.108,0.154,0.006,0.020,0.168,0.162,standard_error
