LR,WLR,Heincke,CR,CRCB,PM,type
0.436,0.544,0.538,0.528,0.528,0.529,estimate
0.429,0.488,0.520,0.497,0.497,0.498,estimate
0.543,0.534,0.496,0.524,0.523,0.525,estimate
0.390,0.475,0.507,0.497,0.496,0.498,estimate
0.391,0.517,0.521,0.511,0.510,0.512,estimate
0.468,0.514,0.555,0.512,0.511,0.513,estimate
0.461,0.513,0.458,0.504,0.503,0.505,estimate
0.527,0.517,0.531,0.507,0.507,0.508,estimate
0.478,0.510,0.523,0.520,0.519,0.521,estimate
0.476,0.485,0.501,0.493,0.492,0.494,estimate
0.463,0.488,0.501,0.501,0.500,0.502,estimate
0.418,0.477,0.476,0.466,0.465,0.467,estimate
0.476,0.503,0.496,0.495,0.494,0.496,estimate
0.505,0.503,0.507,0.525,0.525,0.527,estimate
0.494,0.519,0.529,0.513,0.512,0.514,estimate
0.420,0.431,0.446,0.457,0.456,0.458,estimate
0.491,0.499,0.443,0.488,0.487,0.489,estimate
0.431,0.495,0.482,0.473,0.472,0.474,estimate
0.443,0.480,0.474,0.488,0.487,0.489,estimate
0.520,0.547,0.484,0.527,0.526,0.528,estimate
0.459,0.492,0.503,0.491,0.491,0.492,estimate
0.418,0.535,0.473,0.490,0.490,0.491,estimate
0.524,0.525,0.502,0.527,0.526,0.528,estimate
0.431,0.524,0.520,0.520,0.520,0.521,estimate
0.519,0.506,0.513,0.518,0.517,0.519,estimate
0.437,0.499,0.474,0.485,0.484,0.486,estimate
0.464,0.522,0.486,0.503,0.502,0.504,estimate
0.470,0.555,0.509,0.503,0.502,0.504,estimate
0.451,0.497,0.551,0.516,0.516,0.517,estimate
0.470,0.516,0.513,0.519,0.518,0.520,estimate
0.449,0.498,0.488,0.484,0.483,0.485,estimate
0.518,0.519,0.555,0.522,0.522,0.523,estimate
0.447,0.495,0.479,0.488,0.487,0.489,estimate
0.462,0.512,0.494,0.505,0.504,0.506,estimate
0.492,0.499,0.486,0.493,0.492,0.494,estimate
0.463,0.494,0.458,0.484,0.484,0.485,estimate
0.383,0.477,0.538,0.492,0.491,0.493,estimate
0.472,0.531,0.489,0.509,0.508,0.510,estimate
0.458,0.518,0.513,0.511,0.510,0.512,estimate
0.467,0.521,0.489,0.504,0.504,0.506,estimate
0.529,0.532,0.490,0.520,0.519,0.521,estimate
0.506,0.555,0.491,0.539,0.539,0.540,estimate
0.448,0.474,0.507,0.483,0.483,0.484,estimate
0.521,0.533,0.534,0.525,0.525,0.526,estimate
0.426,0.484,0.485,0.499,0.498,0.500,estimate
0.451,0.510,0.518,0.518,0.518,0.519,estimate
0.498,0.564,0.474,0.525,0.524,0.526,estimate
0.457,0.527,0.527,0.518,0.517,0.519,estimate
0.478,0.480,0.481,0.495,0.495,0.496,estimate
0.447,0.465,0.512,0.500,0.500,0.501,estimate
0.420,0.475,0.528,0.486,0.485,0.487,estimate
0.448,0.483,0.510,0.492,0.492,0.493,estimate
0.474,0.511,0.497,0.501,0.500,0.502,estimate
0.458,0.506,0.506,0.506,0.505,0.507,estimate
0.420,0.466,0.538,0.487,0.487,0.488,estimate
0.422,0.531,0.485,0.511,0.510,0.512,estimate
0.445,0.480,0.488,0.490,0.490,0.491,estimate
0.441,0.496,0.491,0.479,0.478,0.480,estimate
0.478,0.498,0.480,0.502,0.501,0.503,estimate
0.384,0.458,0.515,0.479,0.478,0.480,estimate
0.431,0.555,0.448,0.488,0.488,0.489,estimate
0.425,0.483,0.531,0.491,0.491,0.492,estimate
0.419,0.434,0.467,0.457,0.456,0.458,estimate
0.474,0.505,0.524,0.499,0.499,0.500,estimate
0.483,0.503,0.481,0.492,0.491,0.493,estimate
0.455,0.539,0.490,0.513,0.513,0.514,estimate
0.474,0.548,0.514,0.533,0.533,0.534,estimate
0.400,0.454,0.486,0.477,0.477,0.478,estimate
0.470,0.534,0.536,0.517,0.516,0.518,estimate
0.460,0.494,0.490,0.500,0.500,0.501,estimate
0.430,0.526,0.516,0.503,0.502,0.504,estimate
0.422,0.461,0.464,0.473,0.472,0.474,estimate
0.470,0.518,0.529,0.519,0.518,0.520,estimate
0.460,0.525,0.485,0.512,0.511,0.513,estimate
0.517,0.526,0.465,0.514,0.513,0.515,estimate
0.423,0.461,0.472,0.486,0.486,0.487,estimate
0.516,0.517,0.554,0.522,0.521,0.523,estimate
0.446,0.517,0.521,0.499,0.498,0.500,estimate
0.461,0.514,0.579,0.532,0.531,0.533,estimate
0.415,0.495,0.525,0.504,0.503,0.505,estimate
0.416,0.490,0.486,0.502,0.501,0.503,estimate
0.436,0.480,0.482,0.472,0.472,0.473,estimate
0.472,0.564,0.494,0.514,0.513,0.515,estimate
0.446,0.529,0.488,0.524,0.524,0.525,estimate
0.474,0.522,0.499,0.514,0.513,0.515,estimate
0.422,0.490,0.494,0.487,0.486,0.488,estimate
0.447,0.487,0.499,0.484,0.483,0.485,estimate
0.472,0.471,0.497,0.498,0.498,0.500,estimate
0.524,0.510,0.510,0.511,0.510,0.512,estimate
0.510,0.516,0.546,0.533,0.533,0.535,estimate
0.462,0.490,0.467,0.495,0.494,0.496,estimate
0.474,0.458,0.464,0.474,0.474,0.475,estimate
0.443,0.521,0.488,0.509,0.509,0.510,estimate
0.448,0.501,0.558,0.508,0.508,0.509,estimate
0.468,0.490,0.481,0.501,0.501,0.502,estimate
0.340,0.482,0.534,0.490,0.490,0.491,estimate
0.402,0.490,0.516,0.488,0.488,0.489,estimate
0.450,0.463,0.502,0.479,0.478,0.480,estimate
0.445,0.475,0.506,0.489,0.488,0.490,estimate
0.424,0.500,0.497,0.504,0.504,0.506,estimate
0.036,0.027,0.029,0.028,0.022,0.028,standard_error
0.027,0.019,0.026,0.025,0.018,0.025,standard_error
0.030,0.026,0.026,0.028,0.014,0.028,standard_error
0.031,0.024,0.026,0.025,0.024,0.025,standard_error
0.040,0.038,0.027,0.027,0.030,0.027,standard_error
0.030,0.034,0.030,0.027,0.030,0.035,standard_error
0.027,0.023,0.024,0.026,0.022,0.026,standard_error
0.030,0.033,0.028,0.027,0.022,0.027,standard_error
0.019,0.015,0.027,0.027,0.013,0.027,standard_error
0.016,0.016,0.026,0.026,0.013,0.026,standard_error
0.015,0.015,0.026,0.026,0.014,0.026,standard_error
0.025,0.018,0.025,0.024,0.012,0.024,standard_error
0.025,0.018,0.026,0.026,0.015,0.026,standard_error
0.035,0.028,0.026,0.027,0.024,0.027,standard_error
0.025,0.026,0.028,0.027,0.019,0.027,standard_error
0.011,0.012,0.023,0.024,0.014,0.024,standard_error
0.031,0.021,0.023,0.026,0.018,0.026,standard_error
0.028,0.019,0.025,0.024,0.014,0.024,standard_error
0.021,0.014,0.026,0.026,0.019,0.027,standard_error
0.028,0.028,0.025,0.027,0.018,0.027,standard_error
0.048,0.030,0.026,0.025,0.027,0.029,standard_error
0.036,0.015,0.024,0.025,0.019,0.025,standard_error
0.022,0.028,0.027,0.028,0.022,0.028,standard_error
0.036,0.013,0.027,0.027,0.027,0.027,standard_error
0.031,0.028,0.026,0.027,0.020,0.027,standard_error
0.031,0.020,0.025,0.026,0.018,0.026,standard_error
0.027,0.019,0.025,0.026,0.015,0.026,standard_error
0.053,0.029,0.027,0.027,0.030,0.027,standard_error
0.021,0.016,0.028,0.027,0.020,0.027,standard_error
0.030,0.036,0.027,0.027,0.019,0.027,standard_error
0.029,0.026,0.025,0.025,0.016,0.025,standard_error
0.034,0.032,0.028,0.027,0.020,0.027,standard_error
0.033,0.022,0.025,0.026,0.022,0.026,standard_error
0.033,0.029,0.026,0.027,0.021,0.027,standard_error
0.022,0.016,0.025,0.025,0.011,0.025,standard_error
0.017,0.017,0.023,0.024,0.013,0.024,standard_error
0.036,0.023,0.028,0.025,0.025,0.025,standard_error
0.034,0.024,0.026,0.027,0.016,0.027,standard_error
0.030,0.023,0.027,0.027,0.020,0.027,standard_error
0.037,0.033,0.025,0.026,0.020,0.026,standard_error
0.026,0.026,0.026,0.027,0.014,0.027,standard_error
0.046,0.029,0.025,0.027,0.023,0.027,standard_error
0.016,0.009,0.026,0.025,0.011,0.025,standard_error
0.031,0.026,0.028,0.028,0.013,0.028,standard_error
0.034,0.030,0.025,0.026,0.029,0.028,standard_error
0.020,0.015,0.026,0.026,0.015,0.026,standard_error
0.043,0.024,0.025,0.028,0.022,0.028,standard_error
0.024,0.017,0.027,0.027,0.016,0.027,standard_error
0.019,0.019,0.025,0.026,0.015,0.026,standard_error
0.018,0.015,0.027,0.027,0.015,0.027,standard_error
0.028,0.024,0.027,0.025,0.024,0.025,standard_error
0.027,0.025,0.027,0.026,0.020,0.026,standard_error
0.030,0.019,0.026,0.026,0.015,0.026,standard_error
0.024,0.013,0.026,0.026,0.012,0.026,standard_error
0.023,0.019,0.027,0.025,0.019,0.025,standard_error
0.044,0.025,0.025,0.027,0.024,0.027,standard_error
0.027,0.022,0.025,0.025,0.018,0.025,standard_error
0.027,0.015,0.025,0.024,0.016,0.024,standard_error
0.019,0.018,0.025,0.026,0.013,0.026,standard_error
0.028,0.018,0.027,0.025,0.020,0.025,standard_error
0.040,0.043,0.023,0.025,0.025,0.027,standard_error
0.027,0.020,0.028,0.026,0.022,0.026,standard_error
0.015,0.018,0.025,0.024,0.015,0.024,standard_error
0.039,0.036,0.027,0.026,0.021,0.026,standard_error
0.022,0.024,0.025,0.026,0.016,0.026,standard_error
0.031,0.023,0.025,0.026,0.021,0.026,standard_error
0.032,0.017,0.027,0.028,0.017,0.028,standard_error
0.031,0.024,0.025,0.024,0.023,0.024,standard_error
0.036,0.025,0.028,0.027,0.018,0.027,standard_error
0.032,0.025,0.024,0.025,0.019,0.025,standard_error
0.037,0.029,0.027,0.026,0.022,0.026,standard_error
0.015,0.013,0.025,0.026,0.014,0.026,standard_error
0.027,0.020,0.027,0.027,0.016,0.027,standard_error
0.030,0.027,0.025,0.027,0.019,0.027,standard_error
